Method,DataName,ARI,NMI,HOM
DGI,ATAC_RNA_Seq_MouseBrain,0.373477174791496,0.549464972017921,0.53683519792446
DGI,Human Lymph Node (Level 0),0.15354833686549,0.304621927697275,0.335490529509741
DGI,Human Lymph Node (Level 1),0.263877529198152,0.365054284281021,0.451968806753215
DGI,MISAR_seq_mouse_E15_brain_data,0.22150531138502,0.437466270018055,0.420990787210994
BGRL,Amplify_CBMCs_nCells_10075_nGenes_100,0.40348712158741,0.634390582634048,0.633854796898819
BGRL,Amplify_CBMCs_nCells_10075_nGenes_1000,0.319681909432691,0.574651266189842,0.557965439221648
BGRL,Amplify_CBMCs_nCells_1992_nGenes_100,0.352505762592941,0.599687957526806,0.580787834832573
BGRL,Amplify_CBMCs_nCells_1992_nGenes_1000,0.310656076180544,0.568157041940174,0.539673905982916
BGRL,Amplify_CBMCs_nCells_5024_nGenes_100,0.365407681635659,0.592007429791473,0.591712617365618
BGRL,Amplify_CBMCs_nCells_5024_nGenes_1000,0.375217593609828,0.598849070179932,0.598131221362714
BGRL,ATAC_RNA_Seq_MouseBrain,0.359173007537147,0.51283827817453,0.513274633256243
BGRL,Human Lymph Node (Level 0),0.166707567270886,0.313825000108974,0.352898373768899
BGRL,Human Lymph Node (Level 1),0.264778271918262,0.37368826622008,0.48107221695352
BGRL,MISAR_seq_mouse_E15_brain_data,0.252759213797939,0.425272601363211,0.436374005847905
,,,,
,,,,
,,,,
,,,,
